,userId,movieId,rating,User_based_predictions
0,10,25,4.0,3.4508290144795133
1,10,1230,4.0,4.520679641395428
2,10,1304,3.0,4.283548189350769
3,61,2369,0.5,3.118483988897655
4,61,2447,1.0,2.963470551151182
5,61,4034,4.0,3.940596463164615
6,61,6016,4.5,4.445842863651207
7,61,7153,5.0,4.358895426506594
8,61,45361,2.0,0.9032491438780184
9,61,47810,0.5,2.0156353723331497
10,61,48516,3.5,4.126479434358713
11,91,266,3.5,3.4617495302766126
12,91,380,3.0,3.676821460771786
13,91,480,3.5,3.6232696368359103
14,91,653,3.5,3.1149040514589417
15,91,953,4.5,4.288774467928433
16,91,965,4.0,4.177382962058444
17,91,1226,3.0,3.779405743174717
18,91,1265,4.5,3.5546669866127067
19,91,2300,4.0,3.6376935764365457
20,91,2427,4.5,3.2999164388031836
21,91,2997,4.0,4.032810229804151
22,91,3398,3.5,3.431017174617659
23,91,3831,3.0,3.7713373286171663
24,91,4011,4.0,4.230428626444477
25,91,4251,4.0,3.233398178921202
26,91,4321,4.5,3.349551181043423
27,91,5501,2.0,2.1604615360691812
28,91,5632,4.5,3.7187785350303533
29,91,5747,4.0,3.9909585688555573
30,91,27808,3.5,3.188134420988063
31,91,32587,2.5,3.903737379681935
32,124,110,1.0,4.100784194106088
33,124,480,2.0,3.9412875502989975
34,124,653,3.0,3.438173645457377
35,124,1584,5.0,3.7975642116919617
36,124,1690,3.0,2.4634453373839147
37,124,2245,3.5,3.3397455525349584
38,124,2273,3.0,3.7540091382277936
39,124,4011,4.0,4.365738992235886
40,124,5989,5.0,3.937606285952402
41,124,32587,5.0,3.9535368784336766
42,158,15,3.0,2.5840288145768464
43,158,39,4.0,3.2561426305536085
44,158,105,5.0,3.621557343910283
45,158,110,3.0,3.867573436084004
46,158,371,4.0,3.108411050888351
47,158,380,4.0,3.409915810501528
48,158,531,5.0,3.525357671037195
49,163,48516,3.0,3.828831720137515
50,163,58998,4.0,3.687904749936665
51,167,7153,4.5,3.6897946383876605
52,217,520,4.0,3.30275022652654
53,265,541,4.5,4.4077731550972254
54,265,1127,3.5,3.855389718025903
55,265,1213,3.0,4.325075026679191
56,265,1320,2.5,3.3173144082025185
57,265,1375,3.5,3.4652757284295372
58,265,1690,2.5,2.892238516195863
59,278,36,4.5,3.942545928590702
60,278,266,4.0,3.5828326044379892
61,278,423,3.0,3.0820251292295535
62,278,788,3.0,2.0067058550063113
63,278,1097,4.0,3.8311090899020024
64,278,1198,4.0,4.227649880396526
65,278,1909,3.5,3.1548502284917976
66,278,1991,1.5,2.7447701229267114
67,278,2296,2.0,2.475967569057913
68,278,2686,5.0,4.068279195456847
69,278,4011,3.0,4.077631708900653
70,278,4034,4.0,3.656676075429262
71,278,4321,3.0,3.2666922372070273
72,278,5989,3.5,4.082395306040946
73,278,7153,4.5,4.155002411362336
74,298,153,2.0,2.7705026123782206
75,298,163,3.0,3.096006128791496
76,298,423,3.0,3.210355834546778
77,298,459,3.0,3.079138041769281
78,298,480,4.0,3.8534941713339035
79,298,548,3.0,2.8785872158014785
80,298,585,2.0,2.4494369136110765
81,298,626,3.0,2.460227540032651
82,298,653,3.0,3.3407266866351772
83,298,842,3.0,2.2625977175518956
84,298,1265,4.0,3.6781419553857413
85,298,1320,3.0,3.09771162955105
86,298,1409,3.0,3.0529733561269383
87,298,1566,1.0,3.394369019754374
88,298,1681,3.0,2.2687699315420433
89,298,1690,3.0,2.992683992001421
90,298,1858,3.0,3.089300682147209
91,298,1862,3.0,2.1738228422107433
92,298,2116,4.0,3.1435224288037733
93,298,2124,4.0,3.0506592481730785
94,298,2195,2.0,3.6785785452344384
95,298,2278,3.0,3.2015742994713214
96,298,2322,3.0,2.819830052729843
97,298,2334,4.0,2.827896708875351
98,298,2378,3.0,3.1134114903031467
99,298,2541,4.0,2.8522454758421594
100,298,2657,1.0,2.788508856109744
101,298,2709,1.0,3.3214836928178104
102,298,3224,1.0,2.866572231956944
103,298,3536,2.0,3.8023633651762685
104,298,3623,4.0,3.250539605333055
105,298,3882,3.0,2.8510117486487974
106,298,4154,1.0,3.153077670623933
107,298,4221,4.0,3.2265408396756374
108,298,4321,4.0,3.6289370739513784
109,330,110,5.0,4.189612901854516
110,330,158,3.0,2.943420114780958
111,330,203,3.0,3.377091584163219
112,330,241,3.0,1.7377231691519965
113,330,246,4.0,3.515101449238451
114,330,266,3.0,3.6796646852836083
115,330,355,2.0,2.784736853408221
